,Postcode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
49,M6L,North York,"Downsvie, North Par, Upwood Par",43.713756200000006,-79.4900738,3.0,Park,Bakery,Construction & Landscaping,Basketball Court,Yoga Studio,Drugstore,Discount Store,Dog Run,Doner Restaurant,Donut Shop
50,M9L,North York,Humber Summi,43.7563033,-79.56596329999999,3.0,Empanada Restaurant,Pizza Place,Shopping Mall,Yoga Studio,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run
51,M1M,Scarborough,"Cliffcres, Cliffsid, Scarborough Village Wes",43.716316,-79.23947609999999,0.0,American Restaurant,Motel,Department Store,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Yoga Studio
52,M2M,North York,"Newtonbroo, Willowdal",43.789053,-79.40849279999999,2.0,Gym,Donut Shop,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Yoga Studio,Department Store
53,M3M,North York,Downsview Centra,43.7284964,-79.49569740000001,3.0,Baseball Field,Home Service,Food Truck,Yoga Studio,Dessert Shop,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
54,M4M,East Toronto,Studio Distric,43.6595255,-79.340923,0.0,Café,Coffee Shop,American Restaurant,Bakery,Brewery,Italian Restaurant,Gastropub,Yoga Studio,Fish Market,Pet Store
55,M5M,North York,"Bedford Par, Lawrence Manor Eas",43.7332825,-79.4197497,0.0,Sandwich Place,Italian Restaurant,Fast Food Restaurant,Coffee Shop,Juice Bar,Thai Restaurant,Liquor Store,Restaurant,Indian Restaurant,Butcher
56,M6M,York,"Del Ra, Keelesdal, Mount Denni, Silverthor",43.6911158,-79.47601329999999,0.0,Skating Rink,Sandwich Place,Bar,Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Dessert Shop,Empanada Restaurant
57,M9M,North York,"Emer, Humberle",43.7247659,-79.53224240000002,3.0,Construction & Landscaping,Baseball Field,Yoga Studio,Drugstore,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
58,M1N,Scarborough,"Birch Clif, Cliffside Wes",43.692657000000004,-79.2648481,0.0,College Stadium,Café,General Entertainment,Skating Rink,Ethiopian Restaurant,Empanada Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore
59,M2N,North York,Willowdale Sout,43.7701199,-79.40849279999999,0.0,Ramen Restaurant,Sandwich Place,Coffee Shop,Pizza Place,Café,Restaurant,Sushi Restaurant,Japanese Restaurant,Discount Store,Electronics Store
60,M3N,North York,Downsview Northwes,43.7616313,-79.52099940000001,3.0,Gym / Fitness Center,Athletics & Sports,Liquor Store,Grocery Store,Airport Food Court,Colombian Restaurant,Falafel Restaurant,Event Space,Afghan Restaurant,Ethiopian Restaurant
61,M4N,Central Toronto,Lawrence Par,43.7280205,-79.3887901,3.0,Lake,Swim School,Bus Line,Park,Comfort Food Restaurant,Colombian Restaurant,Event Space,Ethiopian Restaurant,Empanada Restaurant,Electronics Store
62,M5N,Central Toronto,Roselaw,43.7116948,-79.41693559999999,3.0,Garden,Health & Beauty Service,Pool,Yoga Studio,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run
63,M6N,York,"The Junction Nort, Runnymed",43.67318529999999,-79.48726190000001,3.0,Grocery Store,Pizza Place,Caribbean Restaurant,Brewery,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant
64,M9N,York,Westo,43.706876,-79.51818840000001,1.0,Park,Convenience Store,Event Space,Ethiopian Restaurant,Empanada Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Department Store,Drugstore
65,M1P,Scarborough,"Dorset Par, Scarborough Town Centr, Wexford Height",43.7574096,-79.27330400000001,3.0,Indian Restaurant,Chinese Restaurant,Pet Store,Vietnamese Restaurant,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant
66,M2P,North York,York Mills Wes,43.752758299999996,-79.4000493,1.0,Park,Bank,Convenience Store,Ethiopian Restaurant,Empanada Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Dessert Shop,Drugstore
67,M4P,Central Toronto,Davisville Nort,43.7127511,-79.3901975,3.0,Gym,Department Store,Breakfast Spot,Sandwich Place,Food & Drink Shop,Hotel,Park,Diner,Empanada Restaurant,Electronics Store
68,M5P,Central Toronto,"Forest Hill Nort, Forest Hill Wes",43.6969476,-79.41130720000001,3.0,Trail,Sushi Restaurant,Jewelry Store,Bus Line,Yoga Studio,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
69,M6P,West Toronto,"High Par, The Junction Sout",43.6616083,-79.46476329999999,0.0,Thai Restaurant,Bar,Mexican Restaurant,Café,Furniture / Home Store,Italian Restaurant,Speakeasy,Steakhouse,Grocery Store,Flea Market
70,M9P,Etobicoke,Westmoun,43.696319,-79.53224240000002,0.0,Chinese Restaurant,Middle Eastern Restaurant,Coffee Shop,Pizza Place,Intersection,Sandwich Place,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store
71,M1R,Scarborough,"Maryval, Wexfor",43.750071500000004,-79.2958491,3.0,Middle Eastern Restaurant,Bakery,Breakfast Spot,Smoke Shop,Yoga Studio,Doner Restaurant,Diner,Discount Store,Dog Run,Drugstore
72,M2R,North York,Willowdale Wes,43.7827364,-79.4422593,0.0,Butcher,Grocery Store,Pharmacy,Pizza Place,Coffee Shop,Discount Store,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant
73,M4R,Central Toronto,North Toronto Wes,43.7153834,-79.40567840000001,0.0,Clothing Store,Coffee Shop,Yoga Studio,Grocery Store,Salon / Barbershop,Restaurant,Rental Car Location,Park,Mexican Restaurant,Metro Station
74,M5R,Central Toronto,"The Anne, North Midtow, Yorkvill",43.6727097,-79.40567840000001,0.0,Café,Sandwich Place,Coffee Shop,Pizza Place,Pub,Indian Restaurant,Middle Eastern Restaurant,BBQ Joint,History Museum,Burger Joint
75,M6R,West Toronto,"Parkdal, Roncesvalle",43.6489597,-79.456325,0.0,Breakfast Spot,Gift Shop,Dessert Shop,Cuban Restaurant,Bar,Bookstore,Dog Run,Italian Restaurant,Movie Theater,Restaurant
76,M7R,Mississauga,Canada Post Gateway Processing Centr,43.6369656,-79.61581899999999,0.0,Hotel,Coffee Shop,American Restaurant,Middle Eastern Restaurant,Mediterranean Restaurant,Intersection,Burrito Place,Fried Chicken Joint,Gym,Sandwich Place
77,M9R,Etobicoke,"Kingsview Villag, Martin Grove Garden, Richview Garden, St. Phillip",43.6889054,-79.55472440000001,0.0,Mobile Phone Shop,Bus Line,Pizza Place,Sandwich Place,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Donut Shop
78,M1S,Scarborough,Agincour,43.7942003,-79.26202940000002,3.0,Latin American Restaurant,Skating Rink,Lounge,Clothing Store,Breakfast Spot,Drugstore,Discount Store,Dog Run,Doner Restaurant,Donut Shop
79,M4S,Central Toronto,Davisvill,43.7043244,-79.3887901,0.0,Sandwich Place,Dessert Shop,Café,Gym,Coffee Shop,Italian Restaurant,Pizza Place,Sushi Restaurant,Brewery,Asian Restaurant
80,M5S,Downtown Toronto,"Harbor, University of Toront",43.6626956,-79.4000493,0.0,Café,Bookstore,Bar,Japanese Restaurant,Sandwich Place,Restaurant,Bakery,Chinese Restaurant,Coffee Shop,Poutine Place
81,M6S,West Toronto,"Runnymed, Swanse",43.6515706,-79.4844499,0.0,Café,Pizza Place,Coffee Shop,Sushi Restaurant,Restaurant,Italian Restaurant,Bar,Dessert Shop,Fish Market,Fish & Chips Shop
82,M1T,Scarborough,"Clarks Corner, Sulliva, Tam O'Shante",43.7816375,-79.3043021,3.0,Pizza Place,Shopping Mall,Gas Station,Fried Chicken Joint,Italian Restaurant,Thai Restaurant,Chinese Restaurant,Fast Food Restaurant,Convenience Store,Pharmacy
83,M4T,Central Toronto,"Moore Par, Summerhill Eas",43.6895743,-79.38315990000001,1.0,Park,Playground,Tennis Court,Restaurant,Dumpling Restaurant,Drugstore,Eastern European Restaurant,Donut Shop,Doner Restaurant,Dance Studio
84,M5T,Downtown Toronto,"Chinatow, Grange Par, Kensington Marke",43.6532057,-79.4000493,0.0,Bar,Café,Dumpling Restaurant,Vegetarian / Vegan Restaurant,Chinese Restaurant,Coffee Shop,Vietnamese Restaurant,Mexican Restaurant,Donut Shop,Grocery Store
85,M1V,Scarborough,"Agincourt Nort, L'Amoreaux Eas, Millike, Steeles Eas",43.8152522,-79.2845772,1.0,Park,Playground,Doner Restaurant,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Donut Shop
86,M4V,Central Toronto,"Deer Par, Forest Hill S, Rathnell, South Hil, Summerhill Wes",43.68641229999999,-79.4000493,0.0,Pub,Coffee Shop,American Restaurant,Sushi Restaurant,Fried Chicken Joint,Sports Bar,Restaurant,Supermarket,Pizza Place,Liquor Store
87,M5V,Downtown Toronto,"CN Towe, Bathurst Qua, Island airpor, Harbourfront Wes, King and Spadin, Railway Land, South Niagar",43.6289467,-79.3944199,0.0,Airport Service,Airport Terminal,Airport Lounge,Sculpture Garden,Bar,Rental Car Location,Coffee Shop,Harbor / Marina,Boat or Ferry,Airport Gate
88,M8V,Etobicoke,"Humber Bay Shore, Mimico Sout, New Toront",43.6056466,-79.50132070000001,0.0,Mexican Restaurant,Liquor Store,Gym,Seafood Restaurant,Bakery,Pet Store,Pharmacy,Pizza Place,Restaurant,Café
89,M9V,Etobicoke,"Albion Garden, Beaumond Height, Humbergat, Jamestow, Mount Oliv, Silverston, South Steele, Thistletow",43.739416399999996,-79.5884369,0.0,Grocery Store,Pizza Place,Liquor Store,Fast Food Restaurant,Beer Store,Sandwich Place,Fried Chicken Joint,Coffee Shop,Pharmacy,Comic Shop
90,M1W,Scarborough,L'Amoreaux Wes,43.799525200000005,-79.3183887,0.0,Chinese Restaurant,Fast Food Restaurant,Grocery Store,Breakfast Spot,Gym Pool,Coffee Shop,Pharmacy,Pizza Place,Sandwich Place,Burger Joint
91,M4W,Downtown Toronto,Rosedal,43.6795626,-79.37752940000001,1.0,Park,Trail,Playground,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
92,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanad,43.6464352,-79.37484599999999,0.0,Coffee Shop,Café,Seafood Restaurant,Japanese Restaurant,Italian Restaurant,Cocktail Bar,Hotel,Restaurant,Beer Bar,Breakfast Spot
93,M8W,Etobicoke,"Alderwoo, Long Branc",43.60241370000001,-79.54348409999999,0.0,Pizza Place,Sandwich Place,Coffee Shop,Gym,Skating Rink,Pub,Pharmacy,Pool,Yoga Studio,Dessert Shop
94,M9W,Etobicoke,Northwes,43.706748299999994,-79.5940544,0.0,Drugstore,Bar,Rental Car Location,Ethiopian Restaurant,Empanada Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Dessert Shop,Donut Shop
95,M1X,Scarborough,Upper Roug,43.836124700000006,-79.20563609999999,0.0,,,,,,,,,,
96,M4X,Downtown Toronto,"Cabbagetow, St. James Tow",43.667967,-79.3676753,0.0,Coffee Shop,Restaurant,Pub,Café,Bakery,Italian Restaurant,Pizza Place,Japanese Restaurant,Diner,Butcher
97,M5X,Downtown Toronto,"First Canadian Plac, Underground cit",43.6484292,-79.3822802,0.0,Coffee Shop,Café,Steakhouse,Restaurant,Seafood Restaurant,Gastropub,Bar,Asian Restaurant,Gym,Hotel
98,M8X,Etobicoke,"The Kingswa, Montgomery Roa, Old Mill Nort",43.653653600000005,-79.5069436,1.0,Park,River,Deli / Bodega,Empanada Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop,Doner Restaurant
99,M4Y,Downtown Toronto,Church and Wellesle,43.6658599,-79.38315990000001,0.0,Coffee Shop,Sushi Restaurant,Japanese Restaurant,Gay Bar,Restaurant,Pub,Café,Hotel,Mediterranean Restaurant,Men's Store
100,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Easter,43.6627439,-79.321558,3.0,Park,Garden,Light Rail Station,Restaurant,Burrito Place,Auto Workshop,Fast Food Restaurant,Farmers Market,Spa,Recording Studio
101,M8Y,Etobicoke,"Humber Ba, King's Mill Par, Kingsway Park South Eas, Mimico N, Old Mill Sout, The Queensway Eas, Royal York South Eas, Sunnyle",43.6362579,-79.49850909999999,3.0,Home Service,Baseball Field,Yoga Studio,Donut Shop,Diner,Discount Store,Dog Run,Doner Restaurant,Drugstore,Dessert Shop
102,M8Z,Etobicoke,"Kingsway Park South Wes, Mimico N, The Queensway Wes, Royal York South Wes, South of Bloo",43.6288408,-79.52099940000001,3.0,Fast Food Restaurant,Hardware Store,Supplement Shop,Discount Store,Tanning Salon,Flower Shop,Burrito Place,Burger Joint,Convenience Store,Bakery
